Date,Price,Open,High,Low,Vol.,Change%
14/06/2024,"3.983,00","3.958,00","3.991,00","3.953,00","0,23K",1.25%
13/06/2024,"3.934,00","3.970,00","4.000,00","3.945,00","0,01K",-0.71%
12/6/2024,"3.962,00","3.981,00","4.001,00","3.981,00","0,14K",0.79%
11/6/2024,"3.931,00","3.930,00","3.975,00","3.892,00","0,19K",0.00%
10/6/2024,"3.931,00","3.953,00","3.980,00","3.922,00","0,10K",-0.56%
7/6/2024,"3.953,00","3.966,00","4.017,00","3.943,00","0,54K",0.46%
6/6/2024,"3.935,00","3.890,00","3.960,00","3.890,00","0,31K",1.73%
5/6/2024,"3.868,00","3.885,00","3.911,00","3.855,00","0,42K",-0.33%
4/6/2024,"3.881,00","3.912,00","3.948,00","3.875,00","0,45K",-4.62%
31/05/2024,"4.069,00","4.030,00","4.078,00","4.030,00","0,37K",2.06%
30/05/2024,"3.987,00","4.010,00","4.016,00","3.975,00","1,97K",-1.02%
29/05/2024,"4.028,00","3.963,00","4.033,00","3.950,00","1,45K",1.95%
28/05/2024,"3.951,00","3.869,00","3.959,00","3.869,00","1,33K",2.23%
27/05/2024,"3.865,00","3.900,00","3.900,00","3.850,00","1,46K",-0.18%
24/05/2024,"3.872,00","3.879,00","3.903,00","3.865,00","2,34K",0.49%
23/05/2024,"3.853,00","3.845,00","3.899,00","3.845,00","2,87K",0.44%
21/05/2024,"3.836,00","3.901,00","3.939,00","3.831,00","2,61K",-1.77%
20/05/2024,"3.905,00","3.915,00","3.929,00","3.878,00","1,89K",0.26%
17/05/2024,"3.895,00","3.834,00","3.915,00","3.834,00","2,24K",1.88%
16/05/2024,"3.823,00","3.865,00","3.882,00","3.809,00","1,87K",0.58%
15/05/2024,"3.801,00","3.940,00","3.940,00","3.800,00","0,01K",0.03%
14/05/2024,"3.800,00","3.927,00","3.945,00","3.800,00","0,12K",-2.76%
13/05/2024,"3.908,00","3.925,00","3.940,00","3.900,00","0,15K",1.43%
10/5/2024,"3.853,00","3.825,00","3.865,00","3.820,00","0,12K",-1.78%
9/5/2024,"3.923,00","3.920,00","3.921,00","3.900,00","0,29K",-0.86%
8/5/2024,"3.957,00","3.961,00","3.968,00","3.936,00","0,21K",-0.08%
7/5/2024,"3.960,00","3.912,00","3.960,00","3.912,00","0,28K",1.30%
6/5/2024,"3.909,00","3.893,00","3.920,00","3.888,00","0,63K",0.49%
3/5/2024,"3.890,00","3.870,00","3.895,00","3.860,00","0,30K",-0.13%
2/5/2024,"3.895,00","3.850,00","3.895,00","3.850,00","0,40K",0.85%
30/04/2024,"3.862,00","3.951,00","3.965,00","3.854,00","1,71K",-2.2
29/04/2024,"3.949,00","3.965,00","3.990,00","3.924,00","1,10K",0.46%
